story,tense,index,ka,correct,distractors,en
The Little Red Box,aorist,1,პატარა გოგონამ იპოვა ყუთი.,იპოვა,"იპოვის, პოულობს, იპოვეს, ვიპოვე, ეძებდა, ეძება",The young girl found a box.
The Little Red Box,aorist,2,მან მიიტანა ყუთი სკოლაში.,მიიტანა,"მიაქვს, მიიტანს, მიიტანეს, მივიტანე, მიჰქონდა, მოიტანა",She carried the box to school.
The Little Red Box,aorist,3,მისი საუკეთესო მეგობარი მოვიდა დასახმარებლად.,მოვიდა,"მოდის, მოვა, მოვიდნენ, მოვედი, მოდიოდა, წავიდა",Her best friend came to help.
The Little Red Box,aorist,4,ისინი შევიდნენ დიდ საკლასო ოთახში.,შევიდნენ,"შედიან, შევლენ, შევედით, შევიდა, შედიოდნენ, გავიდნენ",They went inside the big classroom.
The Little Red Box,aorist,5,მასწავლებელმა მოიტანა პატარა გასაღები.,მოიტანა,"მოაქვს, მოიტანს, მოიტანეს, მოვიტანე, მოჰქონდა, მიიტანა",The teacher brought a small key.
The Little Red Box,aorist,6,მან მისცა მას გასაღები.,მისცა,"აძლევს, მისცემს, მისცეს, მივეცი, აძლევდა, აიღო",He gave the key to her.
The Little Red Box,aorist,7,მან დადო გასაღები შიგნით.,დადო,"დებს, დადებს, დადეს, დავდე, დებდა, აიღო",She put the key inside.
The Little Red Box,aorist,8,მათ გახსნეს წითელი ყუთი.,გახსნეს,"ხსნიან, გახსნიან, გავხსენით, გახსნა, ხსნიდნენ, დაკეტეს",They opened the red box.
The Little Red Box,aorist,9,კაშკაშა ლურჯი ჩიტები სწრაფად გაფრინდნენ.,გაფრინდნენ,"მიფრინავენ, გაფრინდებიან, გავფრინდით, გაფრინდა, მიფრინავდნენ, მოვიდნენ",Bright blue birds flew out fast.
The Little Red Box,aorist,10,ჩიტები წავიდნენ ფანჯარასთან.,წავიდნენ,"მიდიან, წავლენ, წავედით, წავიდა, მიდიოდნენ, მოვიდნენ",The birds went to the window.
The Little Red Box,aorist,11,ბავშვები გაიქცნენ ბაღში.,გაიქცნენ,"გარბიან, გაიქცევიან, გავიქეცით, გაიქცა, გარბოდნენ, შემოიქცნენ",The children ran to the garden.
The Little Red Box,aorist,12,ისინი გაჰყვნენ ჩიტებს გარეთ.,გაჰყვნენ,"მიჰყვებიან, გაჰყვებიან, გავჰყევით, გაჰყვა, მიჰყვებოდნენ, გაუსწრეს",They followed the birds outside today.
The Little Red Box,aorist,13,ერთმა ჩიტმა ატარა ტკბილი ყვავილი.,ატარა,"ატარებს, ატარებს, ატარეს, ვატარე, ატარებდა, მოიტანა",One bird carried a sweet flower.
The Little Red Box,aorist,14,მან მოიტანა ყვავილი მასთან.,მოიტანა,"მოაქვს, მოიტანს, მოიტანეს, მოვიტანე, მოჰქონდა, მიიტანა",It brought the flower to her.
The Little Red Box,aorist,15,გოგონამ აიღო წითელი ყუთი.,აიღო,"იღებს, აიღებს, აიღეს, ავიღე, იღებდა, დადო",The girl took the red box.
The Little Red Box,aorist,16,ისინი ყველანი წავიდნენ სახლში ძალიან ბედნიერები.,წავიდნენ,"მიდიან, წავლენ, წავედით, წავიდა, მიდიოდნენ, მოვიდნენ",They all walked home very happy.
The Little Red Box,future,1,პატარა გოგონა იპოვის ყუთს.,იპოვის,"პოულობს, იპოვა, იპოვიან, იპოვით, ეძებს, იპოვიდა",The young girl will find a box.
The Little Red Box,future,2,მას მიჰყვება ყუთი სკოლაში.,მიიტანს,"მიაქვს, მიიტანა, მივიტანთ, მიიტანენ, მიჰქონდა, მოიტანს",She will carry the box to school.
The Little Red Box,future,3,მისი საუკეთესო მეგობარი მოვა დასახმარებლად.,მოვა,"მოდის, მოვიდა, მოვალთ, მოვლენ, მოდიოდა, წავა",Her best friend will come to help.
The Little Red Box,future,4,ისინი შევლენ დიდ საკლასო ოთახში.,შევლენ,"შედიან, შევიდნენ, შევალთ, შევა, შედიოდნენ, გავლენ",They will go inside the big classroom.
The Little Red Box,future,5,მასწავლებელი მოიტანს პატარა გასაღებს.,მოიტანს,"მოაქვს, მოიტანა, მოვიტანთ, მოიტანენ, მოჰქონდა, მიიტანს",The teacher will bring a small key.
The Little Red Box,future,6,ის მისცემს მას გასაღებს.,მისცემს,"აძლევს, მისცა, მივცემთ, მისცემენ, აძლევდა, წაიღებს",He will give the key to her.
The Little Red Box,future,7,ის დადებს გასაღებს შიგნით.,დადებს,"დებს, დადო, დავდებთ, დადებენ, დებდა, აიღებს",She will put the key inside.
The Little Red Box,future,8,ახლა ისინი გახსნიან წითელ ყუთს.,გახსნიან,"ხსნიან, გახსნეს, გავხსნით, გახსნის, ხსნიდნენ, დაკეტავენ",Now they will open the red box.
The Little Red Box,future,9,კაშკაშა ლურჯი ჩიტები სწრაფად გაფრინდებიან.,გაფრინდებიან,"მიფრინავენ, გაფრინდნენ, გავფრინდებით, გაფრინდება, მიფრინავდნენ, მოვლენ",Bright blue birds will fly out fast.
The Little Red Box,future,10,ჩიტები წავლენ ფანჯარასთან.,წავლენ,"მიდიან, წავიდნენ, წავალთ, წავა, მიდიოდნენ, მოვლენ",The birds will go to the window.
The Little Red Box,future,11,ბავშვები გაიქცევიან ბაღში.,გაიქცევიან,"გარბიან, გაიქცნენ, გავიქცევით, გაიქცევა, გარბოდნენ, შემოიქცევიან",The children will run to the garden.
The Little Red Box,future,12,ისინი დღეს გაჰყვებიან ჩიტებს გარეთ.,გაჰყვებიან,"მიჰყვებიან, გაჰყვნენ, გავჰყვებით, გაჰყვება, მიჰყვებოდნენ, გაუსწრებენ",They will follow the birds outside today.
The Little Red Box,future,13,ერთი ჩიტი ატარებს ტკბილ ყვავილს.,ატარებს,"ატარებს, ატარა, ვატარებთ, ატარებენ, ატარებდა, მოიტანს",One bird will carry a sweet flower.
The Little Red Box,future,14,ის მოიტანს ყვავილს მასთან.,მოიტანს,"მოაქვს, მოიტანა, მოვიტანთ, მოიტანენ, მოჰქონდა, მიიტანს",It will bring the flower to her.
The Little Red Box,future,15,გოგონა აიღებს წითელ ყუთს.,აიღებს,"იღებს, აიღო, ავიღებთ, აიღებენ, იღებდა, დადებს",The girl will take the red box.
The Little Red Box,future,16,ისინი ყველანი წავლენ სახლში ძალიან ბედნიერები.,წავლენ,"მიდიან, წავიდნენ, წავალთ, წავა, მიდიოდნენ, მოვლენ",They all will walk home very happy.
The Little Red Box,imperfect,1,პატარა გოგონა პოულობდა ყუთს.,პოულობდა,"პოულობს, იპოვა, პოულობდნენ, ვპოულობდი, ეძებდა, იპოვის",The young girl was finding a box.
The Little Red Box,imperfect,2,მას მიჰქონდა ყუთი სკოლაში.,მიჰქონდა,"მიაქვს, მიიტანა, მიჰქონდათ, მიგვქონდა, მიიტანს, მოჰქონდა",She was carrying the box to school.
The Little Red Box,imperfect,3,მისი საუკეთესო მეგობარი მოდიოდა დასახმარებლად.,მოდიოდა,"მოდის, მოვიდა, მოდიოდნენ, მოვდიოდი, მოვა, წადიოდა",Her best friend was coming to help.
The Little Red Box,imperfect,4,ისინი შედიოდნენ დიდ საკლასო ოთახში.,შედიოდნენ,"შედიან, შევიდნენ, შევდიოდით, შედიოდა, შევლენ, გადიოდნენ",They were going inside the big classroom.
The Little Red Box,imperfect,5,მასწავლებელს მოჰქონდა პატარა გასაღები.,მოჰქონდა,"მოაქვს, მოიტანა, მოჰქონდათ, მოგვქონდა, მოიტანს, მიჰქონდა",The teacher was bringing a small key.
The Little Red Box,imperfect,6,ის აძლევდა მას გასაღებს.,აძლევდა,"აძლევს, მისცა, აძლევდნენ, ვაძლევდი, მისცემს, იღებდა",He was giving the key to her.
The Little Red Box,imperfect,7,ის დებდა გასაღებს შიგნით.,დებდა,"დებს, დადო, დებდნენ, ვდებდი, დადებს, იღებდა",She was putting the key inside.
The Little Red Box,imperfect,8,ისინი ხსნიდნენ წითელ ყუთს.,ხსნიდნენ,"ხსნიან, გახსნეს, ვხსნიდით, ხსნიდა, გახსნიან, კეტავდნენ",They were opening the red box.
The Little Red Box,imperfect,9,კაშკაშა ლურჯი ჩიტები სწრაფად მიფრინავდნენ.,მიფრინავდნენ,"მიფრინავენ, გაფრინდნენ, მივფრინავდით, მიფრინავდა, გაფრინდებიან, მოდიოდნენ",Bright blue birds were flying out fast.
The Little Red Box,imperfect,10,ჩიტები მიდიოდნენ ფანჯარასთან.,მიდიოდნენ,"მიდიან, წავიდნენ, მივდიოდით, მიდიოდა, წავლენ, მოდიოდნენ",The birds were going to the window.
The Little Red Box,imperfect,11,ბავშვები გარბოდნენ ბაღში.,გარბოდნენ,"გარბიან, გაიქცნენ, გავრბოდით, გარბოდა, გაიქცევიან, შემორბოდნენ",The children were running to the garden.
The Little Red Box,imperfect,12,ისინი მიჰყვებოდნენ ჩიტებს გარეთ.,მიჰყვებოდნენ,"მიჰყვებიან, გაჰყვნენ, მივყვებოდით, მიჰყვებოდა, გაჰყვებიან, უსწრებდნენ",They were following the birds outside today.
The Little Red Box,imperfect,13,ერთი ჩიტი ატარებდა ტკბილ ყვავილს.,ატარებდა,"ატარებს, ატარა, ატარებდნენ, ვატარებდი, ატარებს, მოჰქონდა",One bird was carrying a sweet flower.
The Little Red Box,imperfect,14,მას მოჰქონდა ყვავილი მასთან.,მოჰქონდა,"მოაქვს, მოიტანა, მოჰქონდათ, მოგვქონდა, მოიტანს, მიჰქონდა",It was bringing the flower to her.
The Little Red Box,imperfect,15,გოგონა იღებდა წითელ ყუთს.,იღებდა,"იღებს, აიღო, იღებდნენ, ვიღებდი, აიღებს, დებდა",The girl was taking the red box.
The Little Red Box,imperfect,16,ისინი ყველანი მიდიოდნენ სახლში ძალიან ბედნიერები.,მიდიოდნენ,"მიდიან, წავიდნენ, მივდიოდით, მიდიოდა, წავლენ, მოდიოდნენ",They all were walking home very happy.
The Little Red Box,present,1,პატარა გოგონა პოულობს ყუთს.,პოულობს,"იპოვის, იპოვა, ვპოულობთ, პოულობენ, ეძებს, ეძებდა",The young girl finds a box.
The Little Red Box,present,2,მას მიაქვს ყუთი სკოლაში.,მიაქვს,"მიიტანს, მიიტანა, მიგვაქვს, მიაქვთ, მიჰქონდა, მიიტანენ",She carries the box to school.
The Little Red Box,present,3,მისი საუკეთესო მეგობარი მოდის დასახმარებლად.,მოდის,"მოვა, მოვიდა, მოვდივართ, მოდიან, მოდიოდა, წავა",Her best friend comes to help.
The Little Red Box,present,4,ისინი შედიან დიდ საკლასო ოთახში.,შედიან,"შევლენ, შევიდნენ, შევდივართ, შედის, შედიოდნენ, გადიან",They go inside the big classroom.
The Little Red Box,present,5,მასწავლებელს მოაქვს პატარა გასაღები.,მოაქვს,"მოიტანს, მოიტანა, მოგვაქვს, მოაქვთ, მოჰქონდა, მიაქვს",The teacher brings a small key.
The Little Red Box,present,6,ის აძლევს მას გასაღებს.,აძლევს,"მისცემს, მისცა, ვაძლევთ, აძლევენ, აძლევდა, ართმევს",He gives the key to her.
The Little Red Box,present,7,ის დებს გასაღებს შიგნით.,დებს,"დადებს, დადო, ვდებთ, დებენ, დებდა, იღებს",She puts the key inside.
The Little Red Box,present,8,ახლა ისინი ხსნიან წითელ ყუთს.,ხსნიან,"გახსნიან, გახსნეს, ვხსნით, ხსნის, ხსნიდნენ, კეტავენ",Now they open the red box.
The Little Red Box,present,9,კაშკაშა ლურჯი ჩიტები სწრაფად მიფრინავენ.,მიფრინავენ,"გაფრინდებიან, გაფრინდნენ, მივფრინავთ, მიფრინავს, მიფრინავდნენ, მოდიან",Bright blue birds fly out fast.
The Little Red Box,present,10,ჩიტები მიდიან ფანჯარასთან.,მიდიან,"წავლენ, წავიდნენ, მივდივართ, მიდის, მიდიოდნენ, მოდიან",The birds go to the window.
The Little Red Box,present,11,ბავშვები გარბიან ბაღში.,გარბიან,"გაიქცევიან, გაიქცნენ, გავრბივართ, გარბის, გარბოდნენ, შემორბიან",The children run to the garden.
The Little Red Box,present,12,ისინი დღეს მიჰყვებიან ჩიტებს გარეთ.,მიჰყვებიან,"გაჰყვებიან, გაჰყვნენ, მივყვებით, მიჰყვება, მიჰყვებოდნენ, უსწრებენ",They follow the birds outside today.
The Little Red Box,present,13,ერთი ჩიტი ატარებს ტკბილ ყვავილს.,ატარებს,"ატარებს, ატარა, ვატარებთ, ატარებენ, ატარებდა, მოაქვს",One bird carries a sweet flower.
The Little Red Box,present,14,მას მოაქვს ყვავილი მასთან.,მოაქვს,"მოიტანს, მოიტანა, მოგვაქვს, მოაქვთ, მოჰქონდა, მიაქვს",It brings the flower to her.
The Little Red Box,present,15,გოგონა იღებს წითელ ყუთს.,იღებს,"აიღებს, აიღო, ვიღებთ, იღებენ, იღებდა, დებს",The girl takes the red box.
The Little Red Box,present,16,ისინი ყველანი მიდიან სახლში ძალიან ბედნიერები.,მიდიან,"წავლენ, წავიდნენ, მივდივართ, მიდის, მიდიოდნენ, მოდიან",They all walk home very happy.
The Quiet Welcome,aorist,1,სემი დიდ კარებთან მივიდა.,მივიდა,"მიდის, მივა, მივედი, მიხვედი, მივიდნენ, მიდიოდა",Sam walked to the large door.
The Quiet Welcome,aorist,2,მან მძიმე ლითონის გასაღები დაატრიალა.,დაატრიალა,"ატრიალებს, დაატრიალებს, დავატრიალე, დაატრიალე, დაატრიალეს, ატრიალებდა",He turned the heavy metal key.
The Quiet Welcome,aorist,3,კარი დაწკაპუნებით გაიღო.,გაიღო,"იხსნება, გაიღება, გაიღეს, გავიღე, გაიღებოდა, გაიღებდა",The door opened with a click.
The Quiet Welcome,aorist,4,ის წყნარ ოთახში შევიდა.,შევიდა,"შედის, შევა, შევედი, შეხვედი, შევიდნენ, შედიოდა",He stepped into the quiet room.
The Quiet Welcome,aorist,5,სემმა ყავისფერი ჩანთა ძირს დადო.,დადო,"დებს, დადებს, დავდე, დადე, დადეს, დებდა",Sam set his brown bag down.
The Quiet Welcome,aorist,6,მან შავი ფეხსაცმელები გაიხადა.,გაიხადა,"იხდის, გაიხდის, გავიხადე, გაიხადე, გაიხადეს, იხდიდა",He took off his black shoes.
The Quiet Welcome,aorist,7,მან რბილ იატაკზე გაიარა.,გაიარა,"მიაბიჯებს, გაივლის, გავიარე, გაიარე, გაიარეს, მიაბიჯებდა",He walked across the soft floor.
The Quiet Welcome,aorist,8,ის გრძელ დივანზე დაჯდა.,დაჯდა,"ჯდება, დაჯდება, დავჯექი, დაჯექი, დაჯდნენ, ჯდებოდა",He sat on the long sofa.
The Quiet Welcome,aorist,9,მან დაღლილი თვალები დახუჭა.,დახუჭა,"ხუჭავს, დახუჭავს, დავხუჭე, დახუჭე, დახუჭეს, ხუჭავდა",He closed his tired eyes.
The Quiet Welcome,aorist,10,სახლმა თავი ძალიან მშვიდად იგრძნო.,იგრძნო,"იგრძნობა, იგრძნობს, ვიგრძენი, იგრძენი, იგრძნეს, იგრძნობოდა",The house felt very calm.
The Quiet Welcome,aorist,11,მან გრილი ჰაერი ისუნთქა.,ისუნთქა,"სუნთქავს, ისუნთქებს, ვისუნთქე, ისუნთქე, ისუნთქეს, სუნთქავდა",He breathed in the cool air.
The Quiet Welcome,aorist,12,სემმა ცოტა ხნით დაისვენა.,დაისვენა,"ისვენებს, დაისვენებს, დავისვენე, დაისვენე, დაისვენეს, ისვენებდა",Sam rested for a short time.
The Quiet Welcome,aorist,13,მან პატარა ჩიტებს მოუსმინა.,მოუსმინა,"უსმენს, მოუსმენს, მოვუსმინე, მოუსმინე, მოუსმინეს, უსმენდა",He listened to the small birds.
The Quiet Welcome,aorist,14,მან აქ ღრმა სიმშვიდე იგრძნო.,იგრძნო,"გრძნობს, იგრძნობს, ვიგრძენი, იგრძენი, იგრძნეს, გრძნობდა",He felt a deep peace here.
The Quiet Welcome,aorist,15,მას ოქროსფერ შუქზე დაეძინა.,დაეძინა,"სძინავს, დაიძინებს, დამეძინა, დაგეძინა, დაეძინათ, ეძინა",He slept in the gold light.
The Quiet Welcome,future,1,სემი დიდ კარებთან მივა.,მივა,"მიდის, მივიდა, მიხვალ, მივალ, მივიდოდა, მივლენ",Sam will walk to the large door.
The Quiet Welcome,future,2,ის მძიმე ლითონის გასაღებს დაატრიალებს.,დაატრიალებს,"ატრიალებს, დაატრიალა, დავატრიალებ, დაატრიალებდი, დაატრიალებენ, დაატრიალებ",He will turn the heavy metal key.
The Quiet Welcome,future,3,კარი დაწკაპუნებით გაიღება.,გაიღება,"იხსნება, გაიღო, გაიღებოდა, გაიღებიან, გავიღები, გაიღებ",The door will open with a click.
The Quiet Welcome,future,4,ის წყნარ ოთახში შევა.,შევა,"შედის, შევიდა, შევალ, შეხვალ, შევიდოდა, შევლენ",He will step into the quiet room.
The Quiet Welcome,future,5,სემი ყავისფერ ჩანთას ძირს დადებს.,დადებს,"დებს, დადო, დავდებ, დადებდა, დადებენ, დადებ",Sam will set his brown bag down.
The Quiet Welcome,future,6,ის შავ ფეხსაცმელებს გაიხდის.,გაიხდის,"იხდის, გაიხადა, გავიხდი, გაიხდიდი, გაიხდიან, გაიხდი",He will take off his black shoes.
The Quiet Welcome,future,7,ის რბილ იატაკზე გაივლის.,გაივლის,"მიაბიჯებს, გაიარა, გავივლი, გაივლი, გაივლიდნენ, გაივლიან",He will walk across the soft floor.
The Quiet Welcome,future,8,ის გრძელ დივანზე დაჯდება.,დაჯდება,"ჯდება, დაჯდა, დავჯდები, დაჯდებოდი, დაჯდებიან, დაჯდები",He will sit on the long sofa.
The Quiet Welcome,future,9,ის დაღლილ თვალებს დახუჭავს.,დახუჭავს,"ხუჭავს, დახუჭა, დავხუჭავ, დახუჭავდი, დახუჭავენ, დახუჭავ",He will close his tired eyes now.
The Quiet Welcome,future,10,სახლი ძალიან მშვიდად იგრძნობოდა.,იგრძნობოდა,"იგრძნობა, იგრძნო, ვიგრძნობ, იგრძნობენ, იგრძნობი, იგრძნეს",The house will feel very calm.
The Quiet Welcome,future,11,ის გრილ ჰაერს ისუნთქებს.,ისუნთქებს,"სუნთქავს, ისუნთქა, ვისუნთქებ, ისუნთქებდი, ისუნთქებენ, ისუნთქებ",He will breathe in the cool air.
The Quiet Welcome,future,12,სემი ცოტა ხნით დაისვენებს.,დაისვენებს,"ისვენებს, დაისვენა, დავისვენებ, დაისვენებდი, დაისვენებენ, დაისვენებ",Sam will rest for a short time.
The Quiet Welcome,future,13,ის პატარა ჩიტებს მოუსმენს.,მოუსმენს,"უსმენს, მოუსმინა, მოვუსმენ, მოუსმენდი, მოუსმენენ, მოუსმენ",He will listen to the small birds.
The Quiet Welcome,future,14,ის აქ ღრმა სიმშვიდეს იგრძნობს.,იგრძნობს,"გრძნობს, იგრძნო, ვიგრძნობ, იგრძნობდი, იგრძნობენ, იგრძნობ",He will feel a deep peace here.
The Quiet Welcome,future,15,ის ოქროსფერ შუქზე დაიძინებს.,დაიძინებს,"სძინავს, დაეძინა, დავიძინებ, დაიძინებდი, დაიძინებენ, დაიძინებ",He will sleep in the gold light.
The Quiet Welcome,imperfect,1,სემი დიდ კარებთან მიდიოდა.,მიდიოდა,"მიდის, მივიდა, მივდიოდი, მიდიოდი, მიდიოდნენ, მივა",Sam was walking to the large door.
The Quiet Welcome,imperfect,2,ის მძიმე ლითონის გასაღებს ატრიალებდა.,ატრიალებდა,"ატრიალებს, დაატრიალა, ვატრიალებდი, ატრიალებდი, ატრიალებდნენ, დაატრიალებს",He was turning the heavy metal key.
The Quiet Welcome,imperfect,3,კარი დაწკაპუნებით იხსნებოდა.,იხსნებოდა,"იხსნება, გაიღო, იხსნებოდნენ, ვიხსნებოდი, გაიღება, იხსნებოდი",The door was opening with a click.
The Quiet Welcome,imperfect,4,ის წყნარ ოთახში შედიოდა.,შედიოდა,"შედის, შევიდა, შევდიოდი, შედიოდი, შედიოდნენ, შევა",He was stepping into the quiet room.
The Quiet Welcome,imperfect,5,სემი ყავისფერ ჩანთას ძირს დებდა.,დებდა,"დებს, დადო, ვდებდი, დებდი, დებდნენ, დადებს",Sam was setting his brown bag down.
The Quiet Welcome,imperfect,6,ის შავ ფეხსაცმელებს იხდიდა.,იხდიდა,"იხდის, გაიხადა, ვიხდიდი, იხდიდი, იხდიდნენ, გაიხდის",He was taking off his black shoes.
The Quiet Welcome,imperfect,7,ის რბილ იატაკზე მიაბიჯებდა.,მიაბიჯებდა,"მიაბიჯებს, გაიარა, მივაბიჯებდი, მიაბიჯებდი, მიაბიჯებდნენ, გაივლის",He was walking across the soft floor.
The Quiet Welcome,imperfect,8,ის გრძელ დივანზე ჯდებოდა.,ჯდებოდა,"ჯდება, დაჯდა, ვჯდებოდი, ჯდებოდი, ჯდებოდნენ, დაჯდება",He was sitting on the long sofa.
The Quiet Welcome,imperfect,9,ის დაღლილ თვალებს ხუჭავდა.,ხუჭავდა,"ხუჭავს, დახუჭა, ვხუჭავდი, ხუჭავდი, ხუჭავდნენ, დახუჭავს",He was closing his tired eyes now.
The Quiet Welcome,imperfect,10,სახლი ძალიან მშვიდად იგრძნობოდა.,იგრძნობოდა,"იგრძნობა, იგრძნო, ვიგრძნობოდი, იგრძნობოდი, იგრძნობოდნენ, იგრძნობს",The house was feeling very calm.
The Quiet Welcome,imperfect,11,ის გრილ ჰაერს სუნთქავდა.,სუნთქავდა,"სუნთქავს, ისუნთქა, ვსუნთქავდი, სუნთქავდი, სუნთქავდნენ, ისუნთქებს",He was breathing in the cool air.
The Quiet Welcome,imperfect,12,სემი ცოტა ხნით ისვენებდა.,ისვენებდა,"ისვენებს, დაისვენა, ვისვენებდი, ისვენებდი, ისვენებდნენ, დაისვენებს",Sam was resting for a short time.
The Quiet Welcome,imperfect,13,ის პატარა ჩიტებს უსმენდა.,უსმენდა,"უსმენს, მოუსმინა, ვუსმენდი, უსმენდი, უსმენდნენ, მოუსმენს",He was listening to the small birds.
The Quiet Welcome,imperfect,14,ის აქ ღრმა სიმშვიდეს გრძნობდა.,გრძნობდა,"გრძნობს, იგრძნო, ვგრძნობდი, გრძნობდი, გრძნობდნენ, იგრძნობს",He was feeling a deep peace here.
The Quiet Welcome,imperfect,15,მას ოქროსფერ შუქზე ეძინა.,ეძინა,"სძინავს, დაეძინა, მეძინა, გეძინა, ეძინათ, დაიძინებს",He was sleeping in the gold light.
The Quiet Welcome,present,1,სემი დიდ კარებთან მიდის.,მიდის,"მიდიხარ, მივდივართ, მივიდა, მიდიოდა, მივლენ, მიხვალ",Sam walks to the large door.
The Quiet Welcome,present,2,ის მძიმე ლითონის გასაღებს ატრიალებს.,ატრიალებს,"ვატრიალებ, ატრიალებდი, დაატრიალა, დაატრიალებს, ატრიალებენ, ვატრიალებდით",He turns the heavy metal key.
The Quiet Welcome,present,3,კარი დაწკაპუნებით იხსნება.,იხსნება,"გაიხსნა, გაიღება, ვიხსნები, იხსნებოდა, იხსნებიან, გაიღო",The door opens with a click.
The Quiet Welcome,present,4,ის წყნარ ოთახში შედის.,შედის,"შევდივარ, შედიხარ, შევიდა, შედიოდა, შევლენ, შეხვალ",He steps into the quiet room.
The Quiet Welcome,present,5,სემი ყავისფერ ჩანთას ძირს დებს.,დებს,"ვდებ, დადო, დადებს, დებდა, დებენ, დადებ",Sam sets his brown bag down.
The Quiet Welcome,present,6,ის შავ ფეხსაცმელებს იხდის.,იხდის,"ვიხდი, გაიხადა, გაიხდის, იხდიდი, იხდიან, გაიხადე",He takes off his black shoes.
The Quiet Welcome,present,7,ის რბილ იატაკზე მიაბიჯებს.,მიაბიჯებს,"მივაბიჯებ, მიაბიჯებდი, მიაბიჯებდნენ, მიაბიჯა, მიაბიჯებენ, მივაბიჯებდით",He walks across the soft floor.
The Quiet Welcome,present,8,ის გრძელ დივანზე ჯდება.,ჯდება,"ვჯდები, დაჯდა, დაჯდება, ჯდებოდა, ჯდებიან, დაჯდები",He sits on the long sofa.
The Quiet Welcome,present,9,ის ახლა დაღლილ თვალებს ხუჭავს.,ხუჭავს,"ვხუჭავ, დახუჭა, დახუჭავს, ხუჭავდა, ხუჭავენ, დახუჭავ",He closes his tired eyes now.
The Quiet Welcome,present,10,სახლი დღეს ძალიან მშვიდად იგრძნობა.,იგრძნობა,"ვიგრძენი, იგრძნობოდა, იგრძნობენ, იგრძნო, ვიგრძნობ, ვგრძნობ",The house feels very calm today.
The Quiet Welcome,present,11,ის გრილ ჰაერს სუნთქავს.,სუნთქავს,"ვსუნთქავ, ისუნთქა, ისუნთქებს, სუნთქავდა, სუნთქავენ, ისუნთქებ",He breathes in the cool air.
The Quiet Welcome,present,12,სემი ცოტა ხნით ისვენებს.,ისვენებს,"ვისვენებ, დაისვენა, დაისვენებს, ისვენებდი, ისვენებენ, დაისვენებ",Sam rests for a short time.
The Quiet Welcome,present,13,ის პატარა ჩიტებს უსმენს.,უსმენს,"ვუსმენ, მოუსმინა, მოუსმენს, უსმენდი, უსმენენ, მოუსმენ",He listens to the small birds.
The Quiet Welcome,present,14,ის აქ ღრმა სიმშვიდეს გრძნობს.,გრძნობს,"ვგრძნობ, იგრძნო, იგრძნობს, გრძნობდა, გრძნობენ, იგრძნობ",He feels a deep peace here.
The Quiet Welcome,present,15,ის ოქროსფერ შუქზე სძინავს.,სძინავს,"მძინავს, ეძინა, დაეძინება, გძინავს, სძინავთ, გვეძინა",He sleeps in the gold light.
